Company,Year,Annual_accounts,Country_by_Country_Reports,Industry,Headquarter_country,Folder,Notes,New?
Dundee,2020,https://www.annualreports.com/Company/dundee-precious-metals-inc,,Metals and Mining,CAN,Good,But below 750m,
Duratex,2020,https://www.dex.co/ir/financial-information/results-center,,Metals and Mining,BRA,Bad,Slightly below 750m,NEW February
E.SUN,2019,,,Bank,TWN,Bad,Bank,NEW February
Empresascopec,2020,https://www.empresascopec.cl/wp-content/uploads/2022/07/Sustainability-Report-2021.pdf,,,CHL,,,NEW august
Ecopetrol,2019,https://www.ecopetrol.com.co/wps/portal/Home/en/investors/financial-results/sec-filings,,Oil and gas,COL,Good,,
Ecopetrol,2020,https://www.ecopetrol.com.co/wps/portal/Home/en/investors/financial-results/sec-filings,,Oil and gas,COL,Good,,
Enagas,2020,https://www.enagas.es/enagas/en/AccionistasEInversores/InformacionEconomicoFinanciera/InformesAuditoria,,Infrastructure,ESP,Good,,
Enav,2018,https://www.enav.it/en/investors/financial-statements-presentations-reports,,Service,ITA,Good,In 2020 report,NEW February
Enav,2019,https://www.enav.it/en/investors/financial-statements-presentations-reports,,Service,ITA,Good,In 2020 report,NEW February
Enav,2020,https://www.enav.it/en/investors/financial-statements-presentations-reports,,Service,ITA,Good,But rather operates in Italy (Flight safety),NEW February
Ence,2020,https://ence.es/inversores/informacion-financiera/,,Service,ESP,Bad,Good but unfortunately below 750m,NEW February
Endesa,2021,https://www.endesa.com/content/dam/enel-es/endesa-en/home/investors/financialinformation/financialresults/documents/2021/fy/statement-of-non-financial-information-and-sustainability-2021.pdf,,Oil and gas,ESP,,,april
Endesa,2020,https://www.endesa.com/en/shareholders-and-investors/financial-information,https://www.endesa.com/en/shareholders-and-investors/financial-information,Oil and gas,ESP,Good,,
Enel,2018,https://www.enel.com/investors/financials,https://www.enel.com/investors/sustainability,Utility,ITA,Bad,Major variables missing,
Enel,2019,https://www.enel.com/investors/financials,https://www.enel.com/investors/sustainability,Utility,ITA,Bad,Major variables missing,
Enel,2020,https://www.enel.com/investors/financials,,Utility,ITA,Good,,
ENI,2017,https://www.eni.com/en-IT/publications/2017.html,https://www.eni.com/en-IT/publications/2017.html,Oil and gas,ITA,public CbCRs,,
ENI,2018,https://www.eni.com/en-IT/publications/2018.html,https://www.eni.com/en-IT/publications/2018.html,Oil and gas,ITA,public CbCRs,,
ENI,2019,https://www.eni.com/en-IT/publications/2019.html,https://www.eni.com/en-IT/publications/2019.html,Oil and gas,ITA,public CbCRs,,
ENI,2020,https://www.eni.com/en-IT/publications/2020.html,https://www.eni.com/en-IT/publications/2020.html,Oil and gas,ITA,Good,,
Equinor,2020,https://www.equinor.com/en/sustainability/reporting.html#reports,https://www.equinor.com/en/sustainability/reporting.html#reports,Oil and gas,NOR,Good,CbCR is from 2020,
ERG,2020,https://www.erg.eu/en/investor-relations/financial-statements-and-results,,Metals and Mining,LUX,Good,,NEW February
ERG,2021,https://www.erg.eu/c/document_library/get_file?uuid=4a4c35b2-f8be-a3c2-6853-15667218333c&groupId=10181&version=1.0,,,,,,
EsaiCo,2019,https://www.eisai.com/sustainability/management/globaltax/index.html,,Pharmaceuticals,JPN,,,
Essity,2021,https://www.essity.com/investors/reports/,,Consumer goods,SWE,Good,,NEW March
Essity,2020,https://www.essity.com/investors/reports/,,Consumer goods,SWE,Good,,
EVRAZ,2020,https://www.evraz.com/en/investors/reports-and-results/annual-reports/,,Metals and Mining,GBR,Good,,NEW February
Ferrovial,2020,https://www.ferrovial.com/en/ir-shareholders/financial-information/integrated-annual-report/,,Infrastructure,ESP,Good,,NEW March
Ferrovial,2019,https://www.ferrovial.com/en/ir-shareholders/financial-information/integrated-annual-report/,https://www.ferrovial.com/en/ir-shareholders/financial-information/integrated-annual-report/,Infrastructure,ESP,Good,,
Feralpi,2020,https://www.feralpigroup.com/sites/default/files/media/documents/2021-07/Feralpi%20Group%20DNF%202020_.pdf,,,,,,April
FILA,2020,https://investors.filagroup.it/en/reports/,,Consumer goods,ITA,Bad,Aggregated by continents,NEW February
Fortum,2020,https://www.fortum.com/about-us/investors/reports-and-presentations?f1896946=year:2020,https://www.fortum.com/about-us/investors/reports-and-presentations?f1896946=year:2020,Utility,FIN,Bad,Non CBCR format,
GVS,2020,https://www.gvs.com/en/investor-relations/financial-statements/,,,ITA,,,April
Heimstaden,2021,https://corporate.heimstaden.com/home/default.aspx,,Real Estate,SWE,Good,,NEW March
HellasGold,2020,,,Metals and Mining,GRC,Bad,Only one country,NEW February
Hess Corp,2020,https://www.hess.com/sustainability/how-we-operate/tax-practices,,Oil and gas,USA,Good,,
IAG,2020,https://www.iairgroup.com/en/investors-and-shareholders/results-and-reports,,Service,GBR,Bad,"Only two variables, only graphically and unsure whether it is complete",NEW February
Iberdrola,2021,https://www.iberdrola.com/shareholders-investors/annual-reports,Utility,Utility,ESP,Good,,NEW March
Iberdrola,2019,https://www.iberdrola.com/shareholders-investors/annual-reports/2019#1,https://www.iberdrola.com/shareholders-investors/annual-reports/2019#1,Utility,ESP,Good,,
Iberdrola,2020,https://www.iberdrola.com/shareholders-investors/annual-reports#0,https://www.iberdrola.com/shareholders-investors/annual-reports#0,Utility,ESP,Good,,
Iberostar,2020,,,Service,ESP,Good,Only two variables but the most relevant ones,NEW February
Inditex,2020,https://www.inditex.com/investors/investor-relations/annual-reports,https://www.inditex.com/investors/investor-relations/annual-reports,Consumer goods,ESP,Good,Only two variables but the most relevant ones,
